"","Timestamp","¿Usted.es.o.ha.sido.usuario.de.Tinder?","Indique.su.genero","¿Su.edad.es?","¿Con.que.grupo.étnico.se.identifica?","5.¿Como.usuario.de.Tinder.usted.busca.establecer.contacto.con?","3..¿Con.qué.finalidad.ha.buscado.hacer.match.en.Tinder?","Agerank","Match.con","8..Califique.de.1.a.5.las.siguientes.imágenes.donde.5.es.la.calificación.más.alta.y.1.la.calificación.más.baja","8..Califique.de.1.a.5.las.siguientes.imágenes.donde.5.es.la.calificación.más.alta.y.1.la.calificación.más.baja.1","8..Califique.de.1.a.5.las.siguientes.imágenes.donde.5.es.la.calificación.más.alta.y.1.la.calificación.más.baja.2","8..Califique.de.1.a.5.las.siguientes.imágenes.donde.5.es.la.calificación.más.alta.y.1.la.calificación.más.baja.3","Escoja.3.opciones.,.ordenándolas.de.tal.manera.que.1.sea.la.más.importante.y.3.la.menos.importante..1","Escoja.3.opciones.,.ordenándolas.de.tal.manera.que.1.sea.la.más.importante.y.3.la.menos.importante..2","Escoja.3.opciones.,.ordenándolas.de.tal.manera.que.1.sea.la.más.importante.y.3.la.menos.importante..3","¿Cuál.es.tu.nivel.educativo?(finalizado.o.en.curso)","Barrio","¿Cuál.es.tu.estado.civil?","eleccion1","eleccion2","eleccion3","gusto","gusto1","gusto2","gusto3","gusto4","finalidad","finalidadsexo","genero","educacion","edad"
"1",42853.6177665741,"Sí","Femenino",43,"Blanco","Hombres","Hacer amigos","Mas de 35 años","Jaime",3,2,4,4,"Contexto(fondo/escenario de la foto)","Institucion educativa","Conexiones en comun","Especialización/maestria/doctorado","La flora ","Union libre","Contexto(fondo/escenario de la foto)","Institucion educativa","Conexiones en comun",0,0,0,0,2,0,0,"Femenino","Especialización/maestria/doctorado",43
"2",42855.628097662,"Sí","Masculino",36,"Blanco","Mujeres","Buscar un encuentro sexual","Mas de 35 años","Sandra",5,5,4,3," Cuerpo"," Edad","Contexto(fondo/escenario de la foto)","Especialización/maestria/doctorado","Valle del Lili","Soltero"," Cuerpo"," Edad","Contexto(fondo/escenario de la foto)",1,1,1,1,1,1,1,"Masculino","Especialización/maestria/doctorado",36
"3",42865.6729524306,"Sí","Femenino",41,"Indigena","Ambos","Hacer amigos","Mas de 35 años","Sandra",5,5,5,5,"Gustos musicales",NA,NA,"Especialización/maestria/doctorado","Napoles","Soltero","Gustos musicales",NA,NA,0,0,0,0,0,0,0,"Femenino","Especialización/maestria/doctorado",41
"4",42866.5680795023,"Sí","Femenino",38,"Blanco","Hombres","Buscar pareja estable","Mas de 35 años","Alvaro",3,2,3,3," Cara"," Cuerpo"," Edad","Especialización/maestria/doctorado","La Hacienda","Soltero"," Cara"," Cuerpo"," Edad",1,1,1,1,1,0,0,"Femenino","Especialización/maestria/doctorado",38
"5",42866.6477598264,"Sí","Femenino",36,"Blanco","Hombres","Buscar pareja estable","Mas de 35 años","Alvaro",1,4,3,3," Edad","Contexto(fondo/escenario de la foto)"," Distancia","Especialización/maestria/doctorado","camino real","Soltero"," Edad","Contexto(fondo/escenario de la foto)"," Distancia",0,1,0,1,1,0,0,"Femenino","Especialización/maestria/doctorado",36
"6",42866.6785666088,"Sí","Masculino",36,"Blanco","Mujeres","Buscar un encuentro sexual","26 - 35 años","Angelica",3,3,3,3," Cara"," Cuerpo","Vestuario","Secundaria","Chico","Soltero"," Cara"," Cuerpo","Vestuario",1,1,1,1,1,1,1,"Masculino","Secundaria",36
"7",42866.742914375,"Sí","Femenino",39,"Mestizo","Hombres","Buscar pareja estable","Mas de 35 años","Alvaro",1,2,3,3," Edad","Lugar de trabajo","Institucion educativa","Especialización/maestria/doctorado","Normandia","Soltero"," Edad","Lugar de trabajo","Institucion educativa",0,1,0,1,2,0,0,"Femenino","Especialización/maestria/doctorado",39
"8",42866.7698484954,"Sí","Femenino",41,"Mestizo","Hombres","Buscar un encuentro sexual","Mas de 35 años","Alvaro",3,3,3,3," Pose","Vestuario"," Cara","Especialización/maestria/doctorado","Chapinero ","Soltero"," Pose","Vestuario"," Cara",0,0,0,0,0,1,1,"Femenino","Especialización/maestria/doctorado",41
"9",42866.845263831,"Sí","Femenino",40,"Blanco","Hombres","Hacer amigos","Mas de 35 años","Alvaro",1,2,3,5,"Contexto(fondo/escenario de la foto)"," Cara","Descripcion personal","Secundaria","La hacienda","Soltero","Contexto(fondo/escenario de la foto)"," Cara","Descripcion personal",0,0,1,0,1,0,0,"Femenino","Secundaria",40
"10",42866.8478342593,"Sí","Femenino",36,"Blanco","Hombres","Hacer amigos","Mas de 35 años","Alvaro",1,1,2,2,"Descripcion personal","Conexiones en comun"," Edad","Especialización/maestria/doctorado","flora","Soltero","Descripcion personal","Conexiones en comun"," Edad",0,0,0,0,2,0,0,"Femenino","Especialización/maestria/doctorado",36
"11",42866.8521083912,"Sí","Masculino",36,"Mestizo","Mujeres","Buscar pareja estable","26 - 35 años","Johana",3,1,5,2,"Conexiones en comun","Descripcion personal"," Cara","Especialización/maestria/doctorado","Base","Casado","Conexiones en comun","Descripcion personal"," Cara",0,0,0,2,2,0,0,"Masculino","Especialización/maestria/doctorado",36
"12",42866.8665990857,"Sí","Femenino",47,"Blanco","Hombres","Buscar pareja estable","Mas de 35 años","Alvaro",4,5,2,1,"Conexiones en comun","Descripcion personal"," Edad","Secundaria","Almagro ","Viudo","Conexiones en comun","Descripcion personal"," Edad",0,0,0,2,2,0,0,"Femenino","Secundaria",47
"13",42866.869635081,"Sí","Masculino",56,"Blanco","Mujeres","Buscar un encuentro sexual","Mas de 35 años","Sandra",3,5,1,2," Cuerpo","Vestuario"," Edad","Universitario profesional","Belgrano ","Viudo"," Cuerpo","Vestuario"," Edad",1,1,1,1,1,1,1,"Masculino","Universitario profesional",56
"14",42866.8838726273,"Sí","Femenino",43,"Blanco","Hombres","Buscar pareja estable","Mas de 35 años","Alvaro",1,1,1,1,"Conexiones en comun","Contexto(fondo/escenario de la foto)"," Pose","Especialización/maestria/doctorado","Cristales","Soltero","Conexiones en comun","Contexto(fondo/escenario de la foto)"," Pose",0,0,0,2,2,0,0,"Femenino","Especialización/maestria/doctorado",43
"15",42866.9180773958,"Sí","Femenino",44,"Blanco","Hombres","Hacer amigos","Mas de 35 años","Alvaro",3,1,5,4," Edad","Contexto(fondo/escenario de la foto)"," Cuerpo","Especialización/maestria/doctorado","Hacienda","Soltero"," Edad","Contexto(fondo/escenario de la foto)"," Cuerpo",0,1,0,1,1,0,0,"Femenino","Especialización/maestria/doctorado",44
"16",42866.9857683912,"Sí","Masculino",52,"Blanco","Mujeres","Buscar pareja estable","Mas de 35 años","Marisol",3,2,4,1,"Descripcion personal",NA,NA,"Especialización/maestria/doctorado","Normsndis","Soltero","Descripcion personal",NA,NA,0,0,0,0,0,0,0,"Masculino","Especialización/maestria/doctorado",52
"17",42867.2878555093,"Sí","Masculino",39,"Blanco","Mujeres","Buscar un encuentro sexual","26 - 35 años","Johana",3,2,4,5," Cara"," Cuerpo"," Distancia","Especialización/maestria/doctorado","Refugio","Soltero"," Cara"," Cuerpo"," Distancia",1,1,1,1,1,1,1,"Masculino","Especialización/maestria/doctorado",39
"18",42867.2927059028,"Sí","Femenino",41,"Indigena","Ambos","Hacer amigos","Mas de 35 años","Sandra",3,5,4,3,"Institucion educativa","Descripcion personal","Vestuario","Especialización/maestria/doctorado","Mercedes","Casado","Institucion educativa","Descripcion personal","Vestuario",0,0,0,2,2,0,0,"Femenino","Especialización/maestria/doctorado",41
"19",42867.3015311227,"Sí","Femenino",40,"Mestizo","Ambos","Buscar un encuentro sexual","Mas de 35 años","Marisol",4,2,2,5," Cara",NA,NA,"Especialización/maestria/doctorado","La Calera","Union libre"," Cara",NA,NA,1,1,1,1,1,1,1,"Femenino","Especialización/maestria/doctorado",40
"20",42867.3360738079,"Sí","Masculino",43,"Blanco","Mujeres","Buscar un encuentro sexual","18 - 25 años","Natalia",4,4,5,3," Edad"," Cara"," Cuerpo","Especialización/maestria/doctorado","Ingenio","Casado"," Edad"," Cara"," Cuerpo",0,1,1,1,1,1,1,"Masculino","Especialización/maestria/doctorado",43
"21",42867.479226088,"Sí","Masculino",41,"Mestizo","Mujeres","Buscar un encuentro sexual","18 - 25 años","Natalia",2,1,3,2," Edad"," Cuerpo"," Cara","Especialización/maestria/doctorado","lili","Union libre"," Edad"," Cuerpo"," Cara",0,1,1,1,1,1,1,"Masculino","Especialización/maestria/doctorado",41
"22",42867.5068507292,"Sí","Masculino",43,"Blanco","Mujeres","Crear grupo y salir","26 - 35 años","Angelica",4,2,3,5," Cara"," Cuerpo"," Distancia","Especialización/maestria/doctorado","Limonar","Soltero"," Cara"," Cuerpo"," Distancia",1,1,1,1,1,0,0,"Masculino","Especialización/maestria/doctorado",43
